33900,Tasas por alquiler de espacios públicos,6,32715,32721,32715
34300,Senderismo,4000,0,4000,5549
34400,Precios publicos de Espectaculos,6,132913.78,132919.78,132718.78
34900,Escuela municipal de Musica y Danza de Arona,160000,0,160000,170340.25
34901,Cursos y Talleres personal adscrito al Patronato,40000,0,40000,23231.58
34902,Precios cursos y talleres por servicio,5,196669.01,196674.01,197264.01
38000,Reintegro de Presupuesto Cerrado,0,0,0,8950.34
38900,Reintegro presupuesto corriente,3,0,3,0
39901,Recursos Eventuales.,500,0,500,4476
39902,Tasa prestación servicios en Istalaciones Cult.,0,0,0,0
40000,Transferencias del Ayuntamiento,2550000,0,2550000,2550000
45080,Subvenciones CCAA,6,0,6,0
46100,"De Diputaciones, Consejos o Cabildos",6,51370.82,51376.82,51370.82
46200,Subvenciones de Entidades Locales,0,0,0,50896.91
52700,Intereses de depositos,6,0,6,33.68
83001,Anticipos personal,0,3600,3600,3600
83100,Anticipos al Personal,0,25700,25700,25700
87000,Remanente Tesorería para Gastos Generales,0,622008.36,622008.36,0
87010,Remanente Tesorería Gastos Financiación Afectada,0,111753.03,111753.03,0
,,2754538,1176730,3931268.0,3256846.37
